Customer_id,Age,Income,Credit_score,transaction_count,total_spending,avg_transaction_value,total_loans,total_defaults,total_loan_amount,default_rate,default_flag,spending_income_ratio,loan_income_ratio,transaction_income_ratio
1,55,97575.0,512,3,3378.06005859375,1126.02001953125,0,0.0,0.0,0.0,0,0.03462013895561107,0.0,3.0745580322828594e-05
2,45,105335.0,709,2,1896.7300491333008,948.3650245666504,1,0.0,98352.0,0.0,0,0.018006645930918507,0.9337067451464376,1.8987041344282527e-05
3,45,79421.0,418,7,8530.969924926758,1218.709989275251,0,0.0,0.0,0.0,0,0.10741453677146798,0.0,8.81378980370431e-05
4,51,35188.0,790,6,4561.029891967773,760.1716486612955,1,0.0,200784.0,0.0,0,0.1296189011017328,5.706036148687052,0.00017051267477549164
5,47,101101.0,434,6,5428.189895629883,904.6983159383138,1,0.0,174948.0,0.0,0,0.05369076364852853,1.7304279878537305,5.934659400005935e-05
6,21,103995.0,408,5,4479.969997406006,895.9939994812012,0,0.0,0.0,0.0,0,0.043078705682061694,0.0,4.807923457858551e-05
7,30,114958.0,456,10,12488.619934082031,1248.861993408203,0,0.0,0.0,0.0,0,0.10863637097098097,0.0,8.69882913759808e-05
8,38,21445.0,574,5,6995.539978027344,1399.1079956054687,0,0.0,0.0,0.0,0,0.32620843917124476,0.0,0.00023315458148752622
9,35,78536.0,748,5,3807.680046081543,761.5360092163086,0,0.0,0.0,0.0,0,0.04848324394012355,0.0,6.366507079555873e-05
10,48,33799.0,740,2,2138.880048751831,534.7200121879578,2,2.0,168440.0,1.0,1,0.0632823470739321,4.983579395840113,5.917334832391491e-05
11,32,96801.0,307,7,7125.299900054932,1017.8999857221331,1,0.0,271999.0,0.0,0,0.07360770963166632,2.8098779971281287,7.231330254852739e-05
12,34,117151.0,433,6,6686.809967041016,1114.4683278401692,0,0.0,0.0,0.0,0,0.05707855645313327,0.0,5.121595206186887e-05
13,56,125307.0,596,4,4755.229990005493,1188.8074975013733,0,0.0,0.0,0.0,0,0.037948638064956415,0.0,3.192160054905153e-05
14,55,134197.0,836,7,12796.40023803711,914.0285884312221,2,0.0,508865.0,0.0,0,0.09535533758606458,3.7919253038443483,5.216211986855146e-05
15,48,20025.0,810,3,3624.1600036621094,1208.0533345540364,1,0.0,61371.0,0.0,0,0.18098177296689685,3.0647191011235955,0.000149812734082397
16,62,26763.0,829,6,5633.36003112793,938.8933385213217,0,0.0,0.0,0.0,0,0.21049060386085006,0.0,0.0002241901132160072
17,54,80172.0,462,9,4104.929985046387,456.10333167182074,1,0.0,311319.0,0.0,0,0.05120154149885729,3.88313875168388,0.0001122586439155815
18,55,32931.0,302,7,4934.530014038086,704.932859148298,0,0.0,0.0,0.0,0,0.14984452382369456,0.0,0.0002125656676080289
19,41,127171.0,597,5,6210.139999389648,1242.0279998779297,0,0.0,0.0,0.0,0,0.04883298864827396,0.0,3.93171399139741e-05
20,47,116940.0,825,5,4750.4400634765625,950.0880126953125,1,5.0,180935.0,5.0,1,0.04062288407282848,1.547246451171541,4.275696938600992e-05
21,27,118504.0,430,3,3606.7099533081055,1202.236651102702,1,0.0,119586.0,0.0,0,0.030435343560623315,1.009130493485452,2.531560116114224e-05
22,51,91630.0,610,5,4654.500106811523,930.9000213623046,1,0.0,244885.0,0.0,0,0.050796683474970246,2.6725417439703154,5.456728145803776e-05
23,58,69136.0,641,6,3864.430000305176,644.0716667175293,0,0.0,0.0,0.0,0,0.05589605994424288,0.0,8.678546632723906e-05
24,28,46024.0,708,3,4085.2100219726562,1361.7366739908855,0,0.0,0.0,0.0,0,0.08876260259805006,0.0,6.518338258300017e-05
25,25,130291.0,479,2,2029.1700439453125,1014.5850219726562,0,0.0,0.0,0.0,0,0.015574138228621413,0.0,1.5350254430467184e-05
26,51,25823.0,519,5,4868.850036621094,973.7700073242188,1,0.0,112580.0,0.0,0,0.18854703313407015,4.359679355613213,0.0001936258374317469
27,27,94959.0,362,6,5301.700035095215,883.6166725158691,1,0.0,84090.0,0.0,0,0.055831464475144164,0.8855400751903453,6.318516412346381e-05
28,39,49549.0,522,1,809.2100219726562,809.2100219726562,0,0.0,0.0,0.0,0,0.016331510665657353,0.0,2.0182042019011484e-05
29,37,85384.0,718,5,2750.830047607422,550.1660095214844,0,0.0,0.0,0.0,0,0.032217160681244986,0.0,5.8558980605265626e-05
30,34,72615.0,582,5,4878.249969482422,975.6499938964844,0,0.0,0.0,0.0,0,0.06717964565836841,0.0,6.885629690835227e-05
31,46,116049.0,834,3,4419.71989440918,736.6199824015299,2,0.0,141246.0,0.0,0,0.03808494596600729,1.2171238011529613,2.5851149083576766e-05
32,61,72517.0,452,4,2384.6100273132324,596.1525068283081,0,0.0,0.0,0.0,0,0.032883462185601064,0.0,5.515947984610505e-05
33,33,55016.0,351,8,7765.569976806641,970.6962471008301,0,0.0,0.0,0.0,0,0.14115111925270177,0.0,0.00014541224371092046
34,34,134444.0,470,4,3631.4300537109375,907.8575134277344,0,0.0,0.0,0.0,0,0.027010726054795584,0.0,2.975216446996519e-05
35,62,119775.0,395,4,6066.39990234375,1516.5999755859375,1,0.0,112728.0,0.0,0,0.0506482980784283,0.9411646837820914,3.339595074097266e-05
36,55,75199.0,605,4,4269.159973144531,1067.2899932861328,0,0.0,0.0,0.0,0,0.056771499263880254,0.0,5.319219670474342e-05
37,25,97187.0,832,9,10753.420013427734,1194.824445936415,0,0.0,0.0,0.0,0,0.11064669156808765,0.0,9.260497803204132e-05
38,28,62892.0,619,1,1749.8299560546875,1749.8299560546875,1,0.0,21669.0,0.0,0,0.027822774852997004,0.3445430261400496,1.590027348470394e-05
39,45,51967.0,687,9,8224.36996459961,913.8188849555122,1,0.0,160578.0,0.0,0,0.15826139597436084,3.0899994227105663,0.00017318683010371968
40,58,67547.0,315,10,9929.929962158203,992.9929962158203,0,0.0,0.0,0.0,0,0.14700771258765308,0.0,0.00014804506491776097
41,37,130964.0,710,4,4992.820007324219,1248.2050018310547,0,0.0,0.0,0.0,0,0.03812360654320438,0.0,3.0542744571027155e-05
